"","Hospital Name","City","State","County Name","Heart Attack Mortality","Heart Attack Readmission","Heart Failure Mortality","Heart Failure Readmission","Pneumonia Mortality","Pneumonia Readmission"
"1559","ELLINWOOD DISTRICT HOSPITAL","ELLINWOOD","KS","BARTON","Not Available","Not Available","11","13","19","19"
"1560","OSWEGO COMMUNITY HOSPITAL","OSWEGO","KS","LABETTE","Not Available","Not Available","10","12","8","10"
"1561","ASHLAND HEALTH CENTER","ASHLAND","KS","CLARK","3","2","10","10","32","34"
"1562","WICHITA COUNTY HEALTH CENTER","LEOTI","KS","WICHITA","4","2","8","8","23","24"
"1563","CHEYENNE COUNTY HOSPITAL","ST FRANCIS","KS","CHEYENNE","5","2","21","21","53","57"
"1564","COMANCHE COUNTY HOSPITAL","COLDWATER","KS","COMANCHE","Not Available","Not Available","8","11","20","24"
"1565","KEARNY COUNTY HOSPITAL","LAKIN","KS","KEARNY","2","2","28","32","34","38"
"1566","JEFFERSON COUNTY MEMORIAL HOSPITAL","WINCHESTER","KS","JEFFERSON","Not Available","Not Available","5","5","14","14"
"1567","NEMAHA VALLEY COMMUNITY HOSPITAL","SENECA","KS","NEMAHA","5","3","34","29","75","81"
"1568","ANDERSON COUNTY HOSPITAL","GARNETT","KS","ANDERSON","2","1","25","27","59","64"
"1569","EDWARDS COUNTY HOSPITAL","KINSLEY","KS","EDWARDS","3","2","9","10","27","27"
"1570","SEDAN CITY HOSPITAL","SEDAN","KS","CHAUTAUQUA","2","1","19","20","69","70"
"1571","HOLTON COMMUNITY HOSPITAL","HOLTON","KS","JACKSON","Not Available","Not Available","22","24","59","61"
"1572","MEADE DISTRICT HOSPITAL","MEADE","KS","MEADE","4","4","33","40","109","124"
"1573","HAMILTON COUNTY HOSPITAL","SYRACUSE","KS","HAMILTON","Not Available","Not Available","5","4","26","28"
"1574","GRAHAM COUNTY HOSPITAL","HILL CITY","KS","GRAHAM","2","Not Available","65","83","53","60"
"1575","ELLSWORTH COUNTY MEDICAL CENTER","ELLSWORTH","KS","ELLSWORTH","18","13","64","78","125","134"
"1576","OTTAWA COUNTY HEALTH CENTER","MINNEAPOLIS","KS","OTTAWA","10","7","20","20","48","52"
"1577","KIOWA DISTRICT HOSPITAL","KIOWA","KS","BARBER","1","1","12","14","37","42"
"1578","CLARA BARTON HOSPITAL","HOISINGTON","KS","BARTON","1","1","26","28","84","90"
"1579","NESS COUNTY HOSPITAL DISTRICT #2","NESS CITY","KS","NESS","5","4","14","15","47","49"
"1580","WAMEGO CITY HOSPITAL","WAMEGO","KS","POTTAWATOMIE","9","8","35","42","56","58"
"1581","SABETHA COMMUNITY HOSPITAL","SABETHA","KS","NEMAHA","2","1","22","26","51","47"
"1582","GREENWOOD COUNTY HOSPITAL","EUREKA","KS","GREENWOOD","6","4","64","67","142","158"
"1583","HERINGTON MUNICIPAL HOSPITAL","HERINGTON","KS","DICKINSON","6","3","29","30","100","105"
"1584","HIAWATHA COMMUNITY HOSPITAL","HIAWATHA","KS","BROWN","11","8","59","71","70","68"
"1585","STANTON COUNTY HOSPITAL","JOHNSON","KS","STANTON","Not Available","Not Available","5","5","22","23"
"1586","WILSON MEDICAL CENTER","NEODESHA","KS","WILSON","1","Not Available","14","14","47","42"
"1587","SHERIDAN COUNTY HOSPITAL","HOXIE","KS","SHERIDAN","2","1","10","11","39","46"
"1588","NORTON COUNTY HOSPITAL","NORTON","KS","NORTON","2","1","34","44","56","57"
"1589","CLOUD COUNTY HEALTH CENTER","CONCORDIA","KS","CLOUD","14","6","99","115","118","118"
"1590","RUSSELL REGIONAL HOSPITAL","RUSSELL","KS","RUSSELL","9","6","24","27","63","67"
"1591","WASHINGTON COUNTY HOSPITAL","WASHINGTON","KS","WASHINGTON","4","4","8","8","70","74"
"1592","DECATUR COUNTY HOSPITAL","OBERLIN","KS","DECATUR","2","1","33","41","104","119"
"1593","PHILLIPS COUNTY HOSPITAL","PHILLIPSBURG","KS","PHILLIPS","2","1","21","17","61","69"
"1594","COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS","ONAGA","KS","POTTAWATOMIE","6","2","65","78","139","156"
"1595","TREGO COUNTY LEMKE MEMORIAL HOSPITAL","WA KEENEY","KS","TREGO","11","5","77","90","167","175"
"1596","ST LUKE HOSPITAL & LIVING CENTER","MARION","KS","MARION","2","1","16","17","21","22"
"1597","HILLSBORO COMMUNITY HOSPITAL","HILLSBORO","KS","MARION","3","3","18","18","24","28"
"1598","LINDSBORG COMMUNITY HOSPITAL","LINDSBORG","KS","MCPHERSON","5","3","15","16","68","67"
"1599","GREELEY COUNTY HEALTH SERVICES","TRIBUNE","KS","GREELEY","3","2","20","20","68","79"
"1600","REPUBLIC COUNTY HOSPITAL","BELLEVILLE","KS","REPUBLIC","23","15","65","72","142","162"
"1601","OSBORNE COUNTY MEMORIAL HOSPITAL","OSBORNE","KS","OSBORNE","5","Not Available","13","16","47","46"
"1602","HARPER HOSPITAL DISTRICT NO 5","HARPER","KS","HARPER","5","2","55","57","64","72"
"1603","GOVE COUNTY MEDICAL CENTER","QUINTER","KS","GOVE","12","8","33","39","141","151"
"1604","HODGEMAN COUNTY HEALTH CENTER","JETMORE","KS","HODGEMAN","3","3","13","19","44","48"
"1605","GOODLAND REGIONAL MEDICAL CENTER","GOODLAND","KS","SHERMAN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1606","CLAY COUNTY MEDICAL CENTER","CLAY CENTER","KS","CLAY","5","2","47","55","153","155"
"1607","SCOTT COUNTY HOSPITAL","SCOTT CITY","KS","SCOTT","8","4","36","42","58","60"
"1608","ALLEN COUNTY HOSPITAL","IOLA","KS","ALLEN","19","14","63","67","137","139"
"1609","FREDONIA REGIONAL HOSPITAL","FREDONIA","KS","WILSON","13","4","67","65","135","151"
"1610","MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS","BELOIT","KS","MITCHELL","30","19","82","86","138","137"
"1611","GIRARD MEDICAL CENTER","GIRARD","KS","CRAWFORD","5","2","60","76","116","118"
"1612","SMITH COUNTY MEMORIAL HOSPITAL","SMITH CENTER","KS","SMITH","13","3","37","40","60","63"
"1613","KINGMAN COMMUNITY HOSPITAL","KINGMAN","KS","KINGMAN","5","4","31","35","108","114"
"1614","MORRIS COUNTY HOSPITAL","COUNCIL GROVE","KS","MORRIS","17","10","82","98","74","78"
"1615","NEOSHO MEMORIAL REGIONAL MEDICAL CENTER","CHANUTE","KS","NEOSHO","31","18","126","159","229","238"
"1616","MEMORIAL HOSPITAL","ABILENE","KS","DICKINSON","15","15","61","78","115","109"
"1617","ATCHISON HOSPITAL","ATCHISON","KS","ATCHISON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1618","WILLIAM NEWTON HOSPITAL","WINFIELD","KS","COWLEY","15","12","50","57","177","177"
"1619","CHILDREN'S MERCY  SOUTH","OVERLAND PARK","KS","JOHNSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1620","ST ELIZABETH FT THOMAS","FORT THOMAS","KY","CAMPBELL","206","181","307","371","265","278"
"1621","WHITESBURG ARH HOSPITAL","WHITESBURG","KY","LETCHER","27","19","226","294","240","244"
"1622","MUHLENBERG COMMUNITY HOSPITAL","GREENVILLE","KY","MUHLENBERG","16","3","126","136","301","297"
"1623","HIGHLANDS REGIONAL MEDICAL CENTER","PRESTONSBURG","KY","FLOYD","47","31","234","292","304","327"
"1624","KING'S DAUGHTERS' MEDICAL CENTER","ASHLAND","KY","BOYD","673","826","1089","1430","809","878"
"1625","SAINT JOSEPH HOSPITAL","LEXINGTON","KY","FAYETTE","678","895","637","802","698","710"
"1626","SAINT JOSEPH HOSPITAL LONDON","LONDON","KY","LAUREL","258","273","377","501","239","263"
"1627","HARDIN MEMORIAL HOSPITAL","ELIZABETHTOWN","KY","HARDIN","415","379","764","880","696","735"
"1628","THE MEDICAL CENTER AT BOWLING GREEN","BOWLING GREEN","KY","WARREN","321","328","764","922","798","857"
"1629","JEWISH HOSPITAL - SHELBYVILLE","SHELBYVILLE","KY","SHELBY","72","35","143","171","182","189"
"1630","T J SAMSON COMMUNITY HOSPITAL","GLASGOW","KY","BARREN","255","220","293","353","367","394"
"1631","ST CLAIRE REGIONAL MEDICAL CENTER","MOREHEAD","KY","ROWAN","132","107","163","241","231","275"
"1632","MEADOWVIEW REGIONAL MEDICAL CENTER","MAYSVILLE","KY","MASON","70","70","109","144","200","214"
"1633","MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT","MIDDLESBORO","KY","BELL","36","23","190","213","216","226"
"1634","PINEVILLE COMMUNITY HOSPITAL","PINEVILLE","KY","BELL","29","17","241","325","200","229"
"1635","SPRING VIEW HOSPITAL","LEBANON","KY","MARION","15","14","98","107","170","150"
"1636","FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H","BARDSTOWN","KY","NELSON","48","28","87","91","143","147"
"1637","MURRAY-CALLOWAY COUNTY HOSPITAL","MURRAY","KY","CALLOWAY","68","36","226","233","362","353"
"1638","HAZARD ARH REGIONAL MEDICAL CENTER","HAZARD","KY","PERRY","150","151","300","401","337","354"
"1639","ST ELIZABETH MEDICAL CENTER NORTH","COVINGTON","KY","KENTON","687","755","1150","1401","770","810"
"1640","OUR LADY OF BELLEFONTE HOSPITAL","ASHLAND","KY","GREENUP","125","90","367","445","417","443"
"1641","OWENSBORO MEDICAL HEALTH SYSTEM","OWENSBORO","KY","DAVIESS","512","510","861","1081","556","607"
"1642","JEWISH HOSPITAL & ST MARY'S HEALTHCARE","LOUISVILLE","KY","JEFFERSON","828","971","1367","1659","1112","1148"
"1643","MEMORIAL HOSPITAL","MANCHESTER","KY","CLAY","45","31","149","209","231","240"
"1644","PIKEVILLE MEDICAL CENTER","PIKEVILLE","KY","PIKE","210","228","330","436","335","350"
"1645","ST ELIZABETH FLORENCE","FLORENCE","KY","BOONE","145","122","216","256","185","193"
"1646","BOURBON COMMUNITY HOSPITAL","PARIS","KY","BOURBON","18","9","65","87","91","98"
"1647","EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER","DANVILLE","KY","BOYLE","226","180","312","377","457","524"
"1648","PATTIE A CLAY REGIONAL MEDICAL CENTER","RICHMOND","KY","MADISON","58","46","127","138","164","167"
"1649","HARLAN APPALACHIAN REGIONAL HEALTHCARE HOSPITAL","HARLAN","KY","HARLAN","42","14","206","293","261","282"
"1650","JENNIE STUART MEDICAL CENTER","HOPKINSVILLE","KY","CHRISTIAN","52","39","202","234","455","435"
"1651","FLEMING COUNTY HOSPITAL","FLEMINGSBURG","KY","FLEMING","15","8","138","173","238","253"
"1652","METHODIST HOSPITAL","HENDERSON","KY","HENDERSON","55","42","283","346","457","495"
"1653","SAINT JOSEPH MOUNT STERLING","MOUNT STERLING","KY","MONTGOMERY","22","16","98","111","203","212"
"1654","LOGAN MEMORIAL HOSPITAL","RUSSELLVILLE","KY","LOGAN","13","9","154","172","331","362"
"1655","UNIVERSITY OF KENTUCKY HOSPITAL","LEXINGTON","KY","FAYETTE","226","244","222","312","231","252"
"1656","WILLIAMSON ARH HOSPITAL","SOUTH WILLIAMSON","KY","PIKE","22","11","133","172","164","168"
"1657","LOUISVILLE VA MEDICAL CENTER","LOUISVILLE                    ","KY","JEFFERSON","150","152","294","372","262","302"
"1658","TWIN LAKES REGIONAL MEDICAL CENTER","LEITCHFIELD","KY","GRAYSON","24","13","86","89","278","285"
"1659","PAUL B HALL REGIONAL MEDICAL CENTER","PAINTSVILLE","KY","JOHNSON","16","6","128","145","310","325"
"1660","HARRISON MEMORIAL HOSPITAL","CYNTHIANA","KY","HARRISON","22","15","104","112","295","331"
"1661","LEXINGTON-LEESTOWN VA MEDICAL CENTER","LEXINGTON                     ","KY","FAYETTE","196","232","328","451","409","473"
"1662","BAPTIST REGIONAL MEDICAL CENTER","CORBIN","KY","KNOX","136","66","276","309","443","450"
"1663","TAYLOR REGIONAL HOSPITAL","CAMPBELLSVILLE","KY","TAYLOR","53","29","155","173","279","291"
"1664","NORTON HOSPITALS, INC","LOUISVILLE","KY","JEFFERSON","761","740","1439","1726","1274","1342"
"1665","CLARK REGIONAL MEDICAL CENTER","WINCHESTER","KY","CLARK","33","23","79","102","204","234"
"1666","REGIONAL MEDICAL CENTER OF HOPKINS COUNTY","MADISONVILLE","KY","HOPKINS","283","262","341","416","440","458"
"1667","CRITTENDEN HEALTH SYSTEM","MARION","KY","CRITTENDEN","33","21","108","120","179","204"
"1668","GEORGETOWN COMMUNITY HOSPITAL","GEORGETOWN","KY","SCOTT","6","4","57","61","109","114"
"1669","LOURDES HOSPITAL","PADUCAH","KY","MCCRACKEN","227","233","480","542","471","485"
"1670","CENTRAL BAPTIST HOSPITAL","LEXINGTON","KY","FAYETTE","443","700","376","530","506","520"
"1671","WESTERN BAPTIST HOSPITAL","PADUCAH","KY","MCCRACKEN","468","477","663","851","568","572"
"1672","MONROE COUNTY MEDICAL CENTER","TOMPKINSVILLE","KY","MONROE","37","20","177","228","204","218"
"1673","CLINTON COUNTY HOSPITAL, INC","ALBANY","KY","CLINTON","18","13","97","122","167","170"
"1674","ROCKCASTLE REG HOSPITAL & RESPIRATORY CARE CTR","MOUNT VERNON","KY","ROCKCASTLE","12","8","51","64","172","173"
"1675","JACKSON PURCHASE MEDICAL CENTER","MAYFIELD","KY","GRAVES","59","36","188","208","493","521"
"1676","PARKWAY REGIONAL HOSPITAL","FULTON","KY","FULTON","8","6","55","62","145","145"
"1677","GREENVIEW REGIONAL HOSPITAL","BOWLING GREEN","KY","WARREN","49","40","165","186","206","213"
"1678","FRANKFORT REGIONAL MEDICAL CENTER","FRANKFORT","KY","FRANKLIN","68","37","190","219","223","236"
"1679","THREE RIVERS MEDICAL CENTER","LOUISA","KY","LAWRENCE","24","9","144","169","128","128"
"1680","BAPTIST HOSPITAL EAST","LOUISVILLE","KY","JEFFERSON","705","698","1421","1656","1231","1238"
"1681","LAKE CUMBERLAND REGIONAL HOSPITAL","SOMERSET","KY","PULASKI","249","229","344","395","667","680"
"1682","BAPTIST HOSPITAL NORTHEAST","LA GRANGE","KY","OLDHAM","51","28","202","243","220","233"
"1683","KENTUCKY RIVER MEDICAL CENTER","JACKSON","KY","BREATHITT","48","20","165","199","140","147"
"1684","UNIVERSITY OF LOUISVILLE HOSPITAL","LOUISVILLE","KY","JEFFERSON","39","26","49","57","52","69"
"1685","SAINT JOSEPH EAST","LEXINGTON","KY","FAYETTE","152","206","152","195","139","148"
"1686","WESTLAKE REGIONAL HOSPITAL","COLUMBIA","KY","ADAIR","12","8","235","346","226","235"
"1687","MARCUM AND WALLACE MEMORIAL HOSPITAL","IRVINE","KY","ESTILL","6","2","35","40","171","197"
"1688","THE JAMES B HAGGIN MEMORIAL HOSPITAL","HARRODSBURG","KY","MERCER","10","8","50","60","155","174"
"1689","NICHOLAS COUNTY HOSPITAL","CARLISLE","KY","NICHOLAS","8","5","23","19","74","82"
"1690","TRIGG COUNTY HOSPITAL","CADIZ","KY","TRIGG","5","2","44","59","89","84"
"1691","SAINT JOSEPH MARTIN","MARTIN","KY","FLOYD","1","1","29","38","63","62"
"1692","METHODIST HOSPITAL UNION COUNTY","MORGANFIELD","KY","UNION","9","7","48","57","102","108"
"1693","MORGAN COUNTY ARH HOSPITAL","WEST LIBERTY","KY","MORGAN","3","3","46","68","176","196"
"1694","BLUEGRASS COMMUNITY HOSPITAL","VERSAILLES","KY","WOODFORD","9","4","23","28","52","55"
"1695","CASEY COUNTY HOSPITAL","LIBERTY","KY","CASEY","4","4","40","56","159","176"
"1696","CARROLL COUNTY HOSPITAL","CARROLLTON","KY","CARROLL","8","7","53","59","92","96"
"1697","ST ELIZABETH GRANT","WILLIAMSTOWN","KY","GRANT","3","3","41","45","66","69"
"1698","NEW HORIZONS MEDICAL CENTER","OWENTON","KY","OWEN","3","1","49","49","55","66"
"1699","CAVERNA MEMORIAL HOSPITAL","HORSE CAVE","KY","HART","16","11","82","93","70","64"
"1700","EPHRAIM MCDOWELL FORT LOGAN HOSPITAL","STANFORD","KY","LINCOLN","11","7","39","49","144","155"
"1701","MARY BRECKINRIDGE ARH HOSPITAL","HYDEN","KY","LESLIE","9","4","76","95","92","102"
"1702","CUMBERLAND COUNTY HOSPITAL","BURKESVILLE","KY","CUMBERLAND","17","11","79","90","97","98"
"1703","THE MEDICAL CENTER AT FRANKLIN","FRANKLIN","KY","SIMPSON","8","5","76","87","189","194"
"1704","BRECKINRIDGE MEMORIAL HOSPITAL","HARDINSBURG","KY","BRECKINRIDGE","16","12","68","74","124","131"
"1705","LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES, INC","SALEM","KY","LIVINGSTON","11","14","95","106","95","103"
"1706","WAYNE COUNTY HOSPITAL","MONTICELLO","KY","WAYNE","4","5","43","43","121","133"
"1707","CALDWELL MEDICAL CENTER","PRINCETON","KY","CALDWELL","9","Not Available","73","71","124","102"
"1708","OHIO COUNTY HOSPITAL","HARTFORD","KY","OHIO","17","9","87","90","95","109"
"1709","THE MEDICAL CENTER AT SCOTTSVILLE","SCOTTSVILLE","KY","ALLEN","9","6","60","67","97","96"
"1710","JANE TODD CRAWFORD HOSPITAL","GREENSBURG","KY","GREEN","4","3","13","16","55","58"
"1711","MARSHALL COUNTY HOSPITAL","BENTON","KY","MARSHALL","17","11","109","119","138","142"
"1712","KNOX COUNTY HOSPITAL","BARBOURVILLE","KY","KNOX","28","19","59","92","130","143"
"1713","SAINT JOSEPH BEREA","BEREA","KY","MADISON","24","23","56","73","131","134"
"1714","RUSSELL COUNTY HOSPITAL","RUSSELL SPRINGS","KY","RUSSELL","23","21","68","78","168","165"
"1715","MCDOWELL ARH HOSPITAL","MC DOWELL","KY","FLOYD","3","2","40","54","57","60"
"1716","WASHINGTON ST TAMMANY  REGIONAL MEDICAL CENTER","BOGALUSA","LA","WASHINGTON","35","13","100","122","170","166"
"1717","LAFAYETTE GENERAL MEDICAL CENTER","LAFAYETTE","LA","LAFAYETTE","185","180","540","684","393","392"
"1718","DAUTERIVE HOSPITAL","NEW IBERIA","LA","IBERIA","41","50","82","100","101","110"
"1719","THIBODAUX REGIONAL MEDICAL CENTER","THIBODAUX","LA","LAFOURCHE","198","189","423","513","241","246"
"1720","CHARITY HOSPITAL & MEDICAL CENTER OF LOUISIANA AT","NEW ORLEANS","LA","ORLEANS","36","39","51","75","34","32"
"1721","UNIVERSITY MEDICAL CENTER","LAFAYETTE","LA","LAFAYETTE","7","5","34","51","22","26"
"1722","NATCHITOCHES REGIONAL MEDICAL CENTER","NATCHITOCHES","LA","NATCHITOCHES","40","16","141","174","287","296"
"1723","TERREBONNE GENERAL MEDICAL CENTER","HOUMA","LA","TERREBONNE","235","245","480","569","354","321"
"1724","HUEY P LONG MEDICAL CENTER","PINEVILLE","LA","RAPIDES","1","1","9","8","22","26"
"1725","E A CONWAY MEDICAL CENTER","MONROE","LA","OUACHITA","17","14","41","47","34","38"
"1726","WEST CALCASIEU CAMERON HOSPITAL","SULPHUR","LA","CALCASIEU","59","51","194","228","261","267"
"1727","TECHE REGIONAL MEDICAL CENTER","MORGAN CITY","LA","SAINT MARY","34","25","138","174","141","138"
"1728","NORTH OAKS MEDICAL CENTER, LLC","HAMMOND","LA","TANGIPAHOA","158","146","581","723","469","465"
"1729","OPELOUSAS GENERAL HEALTH SYSTEM","OPELOUSAS","LA","SAINT LANDRY","66","53","412","513","393","396"
"1730","CHRISTUS ST FRANCES CABRINI HOSPITAL","ALEXANDRIA","LA","RAPIDES","369","390","560","722","521","563"
"1731","LANE REGIONAL MEDICAL CENTER","ZACHARY","LA","EAST BATON ROUGE","77","66","214","283","249","261"
"1732","SAVOY MEDICAL CENTER","MAMOU","LA","EVANGELINE","31","31","138","177","270","290"
"1733","RAPIDES REGIONAL MEDICAL CENTER","ALEXANDRIA","LA","RAPIDES","263","269","510","647","382","394"
"1734","CHRISTUS ST PATRICK HOSPITAL","LAKE CHARLES","LA","CALCASIEU","214","259","474","569","345","364"
"1735","ABBEVILLE GENERAL HOSPITAL","ABBEVILLE","LA","VERMILION","15","9","262","324","157","157"
"1736","OCHSNER FOUNDATION HOSPITAL","NEW ORLEANS","LA","JEFFERSON","292","378","580","844","263","297"
"1737","WEST JEFFERSON MEDICAL CENTER","MARRERO","LA","JEFFERSON","163","148","414","519","226","225"
"1738","SLIDELL MEMORIAL HOSPITAL","SLIDELL","LA","SAINT TAMMANY","107","100","329","395","315","335"
"1739","CHRISTUS SCHUMPERT HEALTH SYSTEM","SHREVEPORT","LA","CADDO","173","168","526","633","522","538"
"1740","AMERICAN LEGION HOSPITAL","CROWLEY","LA","ACADIA","18","11","152","200","288","281"
"1741","ST TAMMANY PARISH HOSPITAL","COVINGTON","LA","SAINT TAMMANY","172","176","368","448","294","314"
"1742","TOURO INFIRMARY","NEW ORLEANS","LA","ORLEANS","61","55","322","409","291","280"
"1743","BEAUREGARD MEMORIAL HOSPITAL","DERIDDER","LA","BEAUREGARD","60","40","126","150","176","178"
"1744","JENNINGS AMERICAN LEGION HOSPITAL","JENNINGS","LA","JEFFERSON DAVIS","66","40","205","243","381","405"
"1745","IBERIA GENERAL HOSPITAL AND MEDICAL CENTER","NEW IBERIA","LA","IBERIA","119","109","253","320","334","331"
"1746","LAKE CHARLES MEMORIAL HOSPITAL","LAKE CHARLES","LA","CALCASIEU","95","110","362","418","394","385"
"1747","OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","BATON ROUGE","LA","EAST BATON ROUGE","388","402","857","1036","597","607"
"1748","BATON ROUGE GENERAL MEDICAL CENTER","BATON ROUGE","LA","EAST BATON ROUGE","262","262","490","637","314","328"
"1749","ST CHARLES PARISH HOSPITAL","LULING","LA","SAINT CHARLES","9","5","65","94","58","57"
"1750","WEST CARROLL MEMORIAL HOSPITAL","OAK GROVE","LA","WEST CARROLL","17","8","112","124","213","219"
"1751","NORTHERN LOUISIANA MEDICAL CENTER","RUSTON","LA","LINCOLN","69","52","371","443","304","308"
"1752","SPRINGHILL MEDICAL CENTER","SPRINGHILL","LA","WEBSTER","19","10","95","123","161","175"
"1753","WINN PARISH MEDICAL CENTER","WINNFIELD","LA","WINN","19","8","87","90","202","200"
"1754","LSU HEALTH SCIENCES CENTER - SHREVEPORT","SHREVEPORT","LA","CADDO","69","76","127","192","58","62"
"1755","AVOYELLES HOSPITAL","MARKSVILLE","LA","AVOYELLES","9","3","190","200","208","220"
"1756","OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC","LAFAYETTE","LA","LAFAYETTE","148","142","400","482","445","453"
"1757","OAKDALE COMMUNITY HOSPITAL","OAKDALE","LA","ALLEN","8","5","71","92","158","177"
"1758","WILLIS KNIGHTON MEDICAL CENTER","SHREVEPORT","LA","CADDO","491","511","1291","1671","929","962"
"1759","HOMER MEMORIAL HOSPITAL","HOMER","LA","CLAIBORNE","29","17","150","160","253","265"
"1760","MOREHOUSE GENERAL HOSPITAL","BASTROP","LA","MOREHOUSE","19","14","96","121","165","180"
"1761","DESOTO REGIONAL HEALTH SYSTEM","MANSFIELD","LA","DE SOTO","14","7","86","103","124","132"
"1762","EARL K LONG MEDICAL CENTER","BATON ROUGE","LA","EAST BATON ROUGE","4","4","17","21","10","15"
"1763","ST FRANCIS MEDICAL CENTER","MONROE","LA","OUACHITA","323","361","668","854","585","617"
"1764","WOMAN'S HOSPITAL","BATON ROUGE","LA","EAST BATON ROUGE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1765","ALLEN PARISH HOSPITAL","KINDER","LA","ALLEN","5","3","31","45","52","56"
